access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
no culvert,8,cable_car,model_runway,hospital,no,seats,private,y,undefined,SPOTMaps extract,house,unclassified,yes,yes,no,catholic,no,no,footway,hydro,,motorway,ruins,unknown,yrd,jughandle,military,track,yes,dike,naval_base,unknown,wetland,INCT (Algeria) - Institut National de Cartographie et de Téledetection,yes,ARMAS,continent,cable,,platform,narrow_gauge,christian,piste,Ruelle (entre bâtiments principalement)0,o,survey,undefined,no,hotel,communication,undefined,culvert,wadi,aquaduct,swamp,coniferous
hgv,9,drag_lift,apron,parking_space,yes,block,<allowed>,yes,movable,proposed,track,motorway,no,,yes,Las Coronas,yes,yea,official,solar,,abandoned,citywalls,private,no,roundabout,reservoir,park,,outline,,forestry,old_coastline_import,,no;yes,EDC,hamlet,generator,,station,light_rail,Church Pentecontist,tracks,access,supermarket,horse_racing,2,yes,artwork,water tower,grade5,Culvert,culvert,wadi,mangrove,mixed
military,2,gondola,model_aerodrome_runway,public_building,paved,dry_bush,official,PDV,culvert,"EO-1 USGS 2002-09-25 ""Zintan""",apartments,light_rail,building_arcade,,,protestant,,left,```,,,raceway,archaeological_site,permissive,yess,yes,village_green,pitch,,water_canal,,private,coastline,,-1,CapeNature,province,minor_line,,stop_area,proposed,muslim,detour,Canal_Service_Road,mall,footing,unpaved;cobblestone,true,attraction,,2,building_passage,river,stream,bog,
asfalto,4; 8,goods,airstrip,school,0.000000000,entrance,permissive,YPF,low_water_crossing,local_authority,hospital,trunk,arcade,,,sunni,,yes,permissive,,,motorway_link,road,designated,yes,mini_roundabout,religious,swimming_pool,,bridge,,agricultural,reef,,no,Scota,archipelago,busbar,,,abandoned,,foot,crossover,,motor,UNpaved,,pier,,grade0,avalanche_protector,reservoir,riverbank,,
designated,5,t-bar,clearway,building_yard,,line,no,,abandoned,civil,hangar,tertiary,,,,PR-180,,false,no,,,primary;trunk,meteor_crater,prohibited,,approach,commercial,garden,,goods_conveyor,,official,volcano,,yes;-1,NPA,islet,station,,,rail,,Ligne 147 Manga,irrigation,,motocross,paved; unpaved,,ground_sign,,grade2;grade1,no,stream,oxbow,,
psv,-1,yes,runway,bulding,,wall3,destination,,no,protected_area,commercial,motorway_link,,,,Estacionamientos,,,destination,,,steps,bridge,unbekannt,,tertiary,landfill,tree rows,,oven,,permissive,scrub,,Michay,Kei Rail,village,line,,,station,,bicycle,slipway,,soccer,unpaved; paved,,TILAG,,4,yes,pond,drain,,
prohibited,3,station,parking_position,parking,,wall,mtb,,1,conflict,yes,bridge,,,,,,,allowed,,,bridleway,aqueduct,no,,rondabout,grass,nature_reserve,,dyke,,designated,old_coasline_import,,yes;no,pioneer Easybus,quarter,tower,,,preserved,,bus,mainline,,equestrian,earth,,yes,,grade,,dam,canal,,
unknown,7,magic_carpet,yes,pharmacy,,unknown,yes,,viaduct,EO-1 2003-05-25,construction,primary_link,,,,,,,Yes,,,kithimani Road,threshing_floor,destination,,Avenida San Juan,cemetery,slipway,,conveyor_belt,,no,ridge,,no;yes;-1,Evangelical Lutheran Church of Tanzania Karagwe Diocese,suburb,planned,,,level_crossing,,railway,forestry,,karting,sett,,ruins,,grade4;grade2,,intermittent,river,,
license,6,cableway,blast_pad,gound_sign,,w,,,aqueduct,administrative,office,subway,,,,,,,yes,,,pit_lane,yes,yes,,Entrada a la Avenida Nutibara desde la Avenida Bolivariana,greenfield,sports_centre,,cut_line,,restricted,archipelago,,-1;yes,Bolloré Blue Solutions,region,substation,,,turntable,,bing,kart,,climbing,Sand,,Villa Muñiz,,grade3; grade2,,lake,dam,,
customer,4,rope_tow,landing_strip,bench,,railing,designated,,covered,EO-1 2008-02-21,retail,trunk_link,,,,,,,designated,,,pathway,camino_real,Não,,cloverleaf,farmland,stadium,,quay,,destination,gorge,,1,NamPower,municipality,yes,,,subway,,hiking,Cantonment,,skiing,dirt;gravel,,picnic_site,,grade3;grade2,,canal,ditch,,
forestry,10,j-bar,displaced_threshold,restaurant,,embankment,prohibited,,yes,"EO-1, NASA/USGS, 2004-09-11, Maradah",hut,service,,,,,,,unbekannt,,,living_street,fort,tra,,crossing,residential,recreation_ground,,pipeline,,yes,water,,reversible,"Egyptian General Petroleum Corporation, Saudi Aramco, othr national oil companies",country,,,,platform,,subway,yard,,multi,gravier0,,viewpoint,,grade2,,drain,3,,
private,Nuevo Retamo,platter,taxiway,artwork,,g,unbekannt,,suspension,nature_reserve,school,canal,,,,,,,private,,,residential,mine,,,Avenida 80,orchard,water_park,,breakwater,,,crater,,Two way,MyCiTi,district,,,,construction,,power,parking,,canyoning,unpaved,,,,3,,oxbow,rapids,,
Bridge at Murfor 2,0,chair_lift,stopway,place_of_worship,,guard_rail,unknown,,destroyed,town,terrace,sec,,,,,,,costumer,,,construction,tomb,,,,forest,playground,,crane,,,wadi,,,COTCO,town,,,,disused,,share_taxi,spur,,running,rock,,,,grade2; grade3; grade3; grade3,,riverbank,drystream,,
agricultural,11,,taxiline,ground_sign,,chain,dismount,,collapsed,postal,residential,path,,,,,,,*,,,yes,,,,,allotments,marina,,embankment,,,riverbank,,,Cabildo Insular La Palma,city,,,,tram,,ferry,branch,,athletics,brick,,,,1,,,ditch;drain,,
mining,"4,6",,aerodrome,marketplace,,wal,dismounted,,ruins,locality,manufacture,residential,,,,,,,NO,,,minor,,,,,yes,common,,dam,,,stream,,,AFTU,locality,,,,funicular,,Hassi R'Mel - Bologna,drivingway,,tennis,stone,,,,grade3,,,drain;canal,,
official,,,holding_position,parking_entrance,,hedge,allowed,,trestle,"EO-1, NASA/USGS, 2002-08-30, Al Qubah",roof,rail,,,,,,,Callejon cundinamarca-Antioquia,,,fixme,,,,,retail,fishing,,geoglyph,,,clif,,,Office des Routes,state,,,,monorail,,Yaoundé-Bertoua,residential,,cycling,Paved,,,,terre,,,spillway,,
