access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,capital,construction,covered,culvert,cutting,denomination,disused,ele,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,poi,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tunnel,water,waterway,wetland,wood
limite Nkoldjobe/Nkolakie,8,station,helipad,transport,kochereni trading centre,water_crossing,no,Paraffin,yes,administrative,Maison,Asosa,yes,no,yes,yes,apostolical,no,3362,yes,no,hydro,yes,unclassified,ruins,no,yes,roundabout,military,piste,yes,http://overpass-turbo.eu/s/6Q6,airfield,no,wetland,Takoradi,yes,Ngerende Island Lodge,undefined,,switch,hydro,Castel - Value Max,switch,Christianity,Camino de Candelaria,aircraft_control,Quincaillerie,Kitesurf,paved,yes,resort,Communications,culvert,Water tank,Luku,saltmarsh,deciduous
Boundary bw  Bamali and Bamunka,9,zip_line,apron,undefined,Shetet,police,dismount,Wolkswagen; Ford,culvert,proposed,GIS Lab,8,hospital,booth,,,nazarene,restaurant,1780.5,false,destination,Gas_or_Diesel,,footway,memorial,private,ye,T,reservoir,club,no,water_well,naval_base,permissive,glacier,auctioneers,no,China Harbour Engineering Company,hameau,,cable_distribution_cabinet,coal,stop_posiiton,subway_entrance,islame,foot,aircraft_contron,pet,kitesurfing,concrete,$ 6,hotel;camping,Beacon,entrance,waterfall,River,swamp,tree_rows
Pont sur la riviere Yegue,2,cable_car,airstrip,government_department,Pit of Despair,gate;entrance,private,Seat,viaduct,protected_area,pinapple farm,Pala,station,yes,,,Jamaa Es Sdadek,yes,131,,private,gas,,stop,tourist information,lushoto Tanzania,,yes,oil well,hot_spring,,antenna_antenne parabolique,nuclear_explosion_site,private,pan,International Fed of Red Cross,,Lcdo. B. Francés,hamlet,,transformer,biofuel,Saint Paul - Winners,stop,unitarian,hiking,alley,green grocery,pala,paving_stones,no,aviary,Digester,no,tank,pool,mangrove,coniferous
Pont de Djimetta Dolla,4,Piste ULM,hangar,car_sharing,Heatwave,pots,garage,Cal Bank,,yes,USAID Residence,Warap,primary,desconocido,,,Jehovah witness,bus_station,204.600006103515625,,yes,fossil,,speed_camera,milestone,yes,,crossing,village_green,miniature_golf,,storage_tank,Old Guns Placement,yes,Volcano,guide,,Alfred shisungu,vb,,substation,gas,Camp Fouquereau,buffer_stop,animist,historic,B,supplements,diving,rocks,,aquarium,observation,yes,lagoon,level_crossing,tidalflat,baobab
Mayo de Mayo Hobaye,6,pylon,threshold,Stations,yes,check point,yes,ABSA,,marker,batiment,"Kadugli, Al-Fula",residential,arcade,,,seventh_day_adventist,museum,1198,,permissive,gasoline,,incline_steep,battlefield,permissive,,intersection,religious,music,,gasfield,posten,official,Thamaga Hill,administrative,,COMMUNE,province,,generator,oil,stop_positon,abandoned,buddhist,PR-TF 35.1,"beautyshop,bio-centre,typing, public toilet",florist,pool,dirt/sand,,volunteer center,lightning_rod,,reservoir,po,marsh,mixed
customer,5,platter,runway,George Flat,3859,block,permissive,The Royal Bank,,aboriginal_lands,office,2,service,,,,Eglise Des Amis,yes ,1673,,designated,solar,,four_way_stop,village,,,,tiny_natural_harbour,protected_area,,antenna,range,designated,ridge,qungo,,Civil Government,archipelago,,portal,photovoltaic,stop_area,abandoned_station,christian,road,dealer,music,tauchen,unpaved,,Gate,residences_et_bureau,,river,wadi,,palm
Power Junction,10,no,tower,planetarium,industrial,entrance,designated,Sonangol,,Condiminium,CC 21,Aweil,unknown,,,,Nederduits_Gereformeerd,,1286,,customer,wind,,KONE Moussa,ship,,,,observatory,horse_riding,,crane,checkpoint,,gorge,trave_agent,,BNA,Forestry station,,plant,wind,platform,station,christianity,40,dealer;parts;repair,car_repair,team_handball,ground,,Horsetrails,communication_tower,,pump,lock_gate,,Arrayán
Site de rebiossement,3,proposed,waypoint,poteau,great hall,water_well,"Venta, mantenimiento",COHYDRO,,,mosque,Al-Fashir,retail,,,,catholic_sspx,,1110,,,pump,,bus_stop,wayside_cross,,,,commercial,hackerspace,,well,barracks,,water,commercial,,Juan Luis Martín Guerrero Escalante,town;hamlet,,Poste_de_Transformation_Haute_Tension,fossil,yes,tram_stop,Ethiopian_Orthodox,bus,dealer;parts;repair;second_hand,numberplates,shooting,compacted,,motel,water_well,,basin,dock,,Soja
official,7,yes,gate,événementiel,3573,poles,,NOC,,,storage_tank,Nyeri,,,,,MOSQUEE__  DE  HAMMA,,2928,,,coal,,milestone,aircraft_wreck,,,,livestock,garden,,pumping station,fort,,cap,Empowerment_Centre,,Vodafone - http://www.vodafone.com.gh,residence,,switchgear,,stop_position,level_crossing,jewish,44,dealer;repair,alterations,multi,rock,,Garmin,mmunication,,water tower,stream,,eucalypt
ሞጆ/ናዝሬት/ሻሸመኔ/አዋሳ ሚኒባስ ተራ,,platform,maybe,boxing gym,"2001,588 km²",wall,,None,,,mini shop,Ed Daein,,,,,Evangalies Gereformeerde,,837,,,diesel,,Speed_camera,city_gate,,,,grass,cinema,,tank,FBXG,,plants,religion,,Guaguas Municipales S.A.,locality,,pole,,station,future_station,bahai,D12,dealer;repair;parts,"Marine,_Boats,_Boat Engines, Accessories",billiards,fine_gravel,,theme_park,crossing,,water_well,falls,,
pont sur la reviere Yegassi,,,radar,République de Côte d'Ivoire,292.100 m²,access_control,,Millenium,,,Motorways village,Khartoum,,,,,Old Apostolic,,929 m,,,biofuel,,firth,convenience,,,,school,fitness_centre,,lighthouse,FBXB,,wadi,radio_station,,Ahmed Lumeh,neighbourhood,,station,,stop_postion,halt,christain,,Distributeur Agree CANAL+,snack bar,archery,dirt,,fountain,power,,intermittent,fountain,,
