access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
permissive,8,station,helipad,car_sharing,highway,city_wall,yes,Afriquia,yes,local_authority,administrative,commercial,no,,,seventh_day_adventist,yes,yes,yes,coal,yes,unclassified,ruins,yes,yes,roundabout,wetland,resort,,drying_area,air defence,no,wetland,administrative,no,Civil Government,hamlet,cable_distribution_cabinet,hydro,platform,construction,buddhist,foot,20/2/2014,doityourself,team_handball,paved,,resort,observation,grade1,yes,lagoon,waterfall,mangrove,mixed
restricted,9,,apron,courthouse,0.002,entrance,no,Agil,,national_park,office,subway,yes,,,presbyterian,,,designated,diesel,,secondary,memorial,no,,,churchyard,birding_site,,something,airfield,,old_coastline_import,telecommunication,yes,Ghana Education Service,province,substation,gas,station,platform,hindu,,driveway,pet,multi,mud,,motel,communication,grade3,,reservoir,weir,saltern,eucalypt
"bing, survey",2,,hangar,office,0.006,gate,dismount,BP,,civil,roof = permanent ,yes,,,,new_apostolic,,,permissive,fossil,,primary,wayside_cross,,,,farmy,pool,,water_well,barracks,,glacier,insurance,,Alpine Heath Resort,archipelago,transformer,oil,stop_area,station,muslim,,parking_aisle,florist,archery,rocky,,theme_park,cooling,grade4,,islet,reservoir,saltmarsh,evergreen
destination,6,,runway,childcare,0.001,retaining_wall,,Caltex,,protected_area,storage_tank,retail,,,,methodist,,,,gas,,track,archaeological_site,,,,field,garden,,storage_tank,bunker,,ridge,yes,,CDC,islet,plant,,,roundhouse,christian,,alley,car_repair,lucha_canaria,pebbles,,information,bell_tower,,,waste,wadi,swamp,olive
bing,4,,building,yes,school,hedge,,Engen,,administrative,university,hut,,,,anglican,,,,hydro,,footway,laundry,,,,urban,nature_reserve,,antenna,checkpoint,,riverbank,lawyer,,Marhaba Hotels,village,generator,,,yes,jewish,,aircraft_control,convenience,climbing,cobblestone,,hostel,defensive,,,salt,riverbank,wet_meadow,deciduous
designated,5,,terminal,nightclub,0.009,yes,,Gapco,,yes,stadium,school,,,,catholic,,,,oil,,bus_stop,heritage,,,,yes,slipway,,crane,danger_area,,fell,educational_institution,,Owners,town,switchgear,,,,multifaith,,bing,car,rugby_union,earth,,chalet,church,,,riverbank,stream,tidalflat,palm
customer,10,,tower,university,0.003,fence,,Independent,,political,roof = permanent,residential,,,,baptist,,,,solar,,tertiary,castle,,,,meadow,playground,,tank,hangar,,woodland,therapist,,Total Côte d'Ivoire,locality,station,,,,spiritualist,,dealer,furniture,model_aerodrome,grass,,guest_house,,,,pond,dock,marsh,tree_rows
private,3,,yes,hospital,yes,wall,,NAFTAL,,catchment_area,q,building,,,,reformed,,,,nuclear,,raceway,wreck,,,,recreation_ground,sauna,,embankment,naval_base,,rock,research,,Vivo Energy Côte d'Ivoire,Residencial Faro Park,tower,,,,vale_do_amanhecer,,dealer;repair,electronics,rugby,gravel,,attraction,,,,river,drain,lake,coniferous
official,7,,taxiway,swimming_pool,0.004,toll_booth,,Oilibya,,postal,toilets,,,,,orthodox,,,,,,steps,building,,,,hospital,yes,,lighthouse,range,,wood,government,,Ministry of Education,neighbourhood,yes,,,,,,yard,funeral_directors,chess,asphalt,,caravan_site,,,,Drinking_Water_Source,canal,bog,yes
customers,11,,bunker,public_building,YES,embankment,,Shell,,political_fraction,Pavilion,,,,,roman_catholic,,,,,,pedestrian,no,,,,railway,bird_hide,,fuel_storage_tank,trench,,yes,ngo,,Disa,county,sub_station,,,,,,,carparts,football,pebblestone,,viewpoint,,,,intermittent,river,reedbed,mata_atlântica
public,0,,aerodrome,biergarten,59213.948197550,kerb,,Sonangol,,,Administration,,,,,islamic,,,,,,bridleway,fort,,,,brownfield,stadium,,reservoir_covered,yes,,tree_row,company,,MSF,island,line,,,,,,,stationery,beachvolleyball,grass_paver,,apartment,,,,lake,dam,,mangrove
no,,,,post_office,,enclosure,,Staroil,,,gazebo,,,,,jehovahs_witness,,,,,,rest_area,meteor_crater,,,,breeding,recreation_ground,,yes,,,stone,estate_agent,,Hôpital Mohammed BOUDIAF,suburb,,,,,,,,yes,running,unpaved,,zoo,,,,lake;pond,ditch,,cerrado
yes,,,,doctors,,ditch,,Texaco,,,static_caravan,,,,,pentecostal,,,,,,services,threshing_floor,,,,quarry,swimming_pool,,jetty,,,bay,political_party,,Universidad de La Laguna,district,,,,,,,,deli,volleyball,ground,,camp_site,,,,Pan,boatyard,,mata atlântica
unknown,,,,food_court,,border_control,,Total,,,Residential,,,,,evangelical,,,,,,platform,yes,,,,aquaculture,water_park,,pier,,,massif,it,,STUDENTS,yes,,,,,,,,car key and air conditioner service shops,bowls,compacted,,picnic_site,,,,oxbow,yes,,seringueira
AR,,,,bulding,,,,Toyota,,,House,,,,,lutheran,,,,,,yes,wayside_shrine,,,,port,Shooting Range,,wastewater_plant,,,rocks,physician,,University of Cape Town,city_block,,,,,,,,chemist,soccer,clay,,artwork,,,,canal,lake,,Cerrado
restrict,,,,taxi,,,,PDV,,,roof=permanent,,,,,ethiopian_orthodox_tewahedo,,,,,,service,pillory,,,,plantation,common,,mineshaft,,,valley,financial,,Afriquia,farm,,,,,,,,hardware,squash,artificial_turf,,hotel,,,,reflecting_pool,dredged_area,,broad_leaved
clients,,,,toilets,,,,Santander,,,silo,,,,,adventist,,,,,,living_street,monument,,,,nursery,sports_centre,,tower,,,tree,association,,Engen,valley,,,,,,,,garden_centre,netball,concrete,,yes,,,,tidal,mooring,,
,,,,shelter,,,,Carrefour,,,palace,,,,,sunni,,,,,,path,tomb,,,,reservoir,dog_park,,telescope,,,lava_channel,accountant,,CAMRAIL,region,,,,,,,,hairdresser,rc_car,paving_stones,,alpine_hut,,,,wastewater,pool,,
,,,,hotel,,,,Bradesco,,,barn,,,,,coptic_orthodox,,,,,,residential,battlefield,,,,village_green,greenfield,,pumping_station,,,marsch,architect,,SIC,state,,,,,,,,fabric,hockey,dirt/sand,,museum,,,,,oxbow,,
,,,,fire_station,,,,Honda,,,track,,,,,Sunni,,,,,,road,ship,,,,r,Common,,bridge,,,grassland,newspaper,,Ecobank,quarter,,,,,,,,variety_store,athletics,dirt,,sign,,,,,,,
,,,,car_rental,,,,Renault,,,apartments,,,,,mormon,,,,,,emergency_access_point,architecture,,,,clearing,marina,,water_tank,,,desert,,,Accadimie,informal,,,,,,,,no,cricket_nets,sand,,,,,,,,,
,,,,clinic,,,,Fiat,,,detached,,,,,greek_orthodox,,,,,,turning_circle,manor,,,,grass,golf_course,,fuel_deport,,,marsh,,,BP,isolated_dwelling,,,,,,,,clothes,water_sports,water,,,,,,,,,
,,,,pub,,,,Pacific,,,connection,,,,,dutch_reformed,,,,,,,monastery,,,,dryfield,beach_resort,,chimney,,,aquaculture,,,FJKM,city,,,,,,,,kiosk,equestrian,sett,,,,,,,,,
,,,,gardens,,,,Ipiranga,,,temple,,,,,protestant,,,,,,,,,,,pond,fishing,,oil_field,,,scrub,,,Lesotho Evangelical Church,municipality,,,,,,,,ticket,sailing,paving_stones:30,,,,,,,,,
,,,,atm,,,,Volkswagen,,,offices,,,,,apostolic,,,,,,,,,,,education,picnic_table,,cooling_tower,,,coastline,,,Galana,municipalidad,,,,,,,,wholesale,table_tennis,fine_gravel,,,,,,,,,
,,,,car_wash,,,,BR,,,bank,,,,,EKFS,,,,,,,,,,,allotments,firepit,,kiln,,,mud,,,German University in Cairo,atoll,,,,,,,,paint,free_flying,rock,,,,,,,,,
,,,,place_of_worship,,,,Citroën,,,multipurpose,,,,,neopentecostal,,,,,,,,,,,fixme,paddling_pool,,radiotelescope,,,volcano,,,OXFAM,,,,,,,,,video,tennis,wood,,,,,,,,,
,,,,fuel,,,,Peugeot,,,building,,,,,espírita,,,,,,,,,,,agriculture,miniature_golf,,adit,,,old_coasline_import,,,Technische Universität Berlin,,,,,,,,,books,baseball,metal,,,,,,,,,
,,,,animal_shelter,,,,HSBC,,,toilet,,,,,maronite,,,,,,,,,,,mine,horse_riding,,building,,,reef,,,E. Leclerc,,,,,,,,,motorcycle,horse_racing,grama_sintética,,,,,,,,,
,,,,retirement_home,,,,Yamaha,,,accommodation,,,,,assemblies_of_god,,,,,,,,,,,vineyard,park,,water_tower,,,mountain,,,CAK,,,,,,,,,wine,skateboard,concrete:lanes,,,,,,,,,
,,,,dentist,,,,Chevrolet,,,CON,,,,,neo-pentecostal,,,,,,,,,,,conservation,pitch,,groyne,,,crater,,,EdM,,,,,,,,,kitchen,korfball,decoturf,,,,,,,,,
,,,,bank,,,,shell,,,flats,,,,,vale_do_amanhecer,,,,,,,,,,,salt_pond,track,,mast,,,bedrock,,,Owner,,,,,,,,,grossery,basketball,grama,,,,,,,,,
,,,,ferry_terminal,,,,Banco do Brasil,,,non_residential,,,,,foursquare,,,,,,,,,,,frmy,club,,storage,,,grass,,,Birds of Paradise,,,,,,,,,mobile_phone,handball,Grama,,,,,,,,,
,,,,animal_keeping,,,,Petrobrás,,,commercial;residential,,,,,spiritist,,,,,,,,,,,wasteland,hot_spring,,reservoir,,,cliff,,,Family life,,,,,,,,,butcher,cycling,tartan,,,,,,,,,
,,,,pharmacy,,,,Petrobras,,,wharehouse,,,,,mennonite,,,,,,,,,,,industrial,fitness_station,,water_works,,,spring,,,APC,,,,,,,,,motorcycle_repair,Football,,,,,,,,,,
,,,,recycling,,,,Esso,,,Hut,,,,,,,,,,,,,,,,landfill,dance,,watermill,,,park,,,EKAR,,,,,,,,,travel_agency,cricket,,,,,,,,,,
,,,,embassy,,,,ANCAP,,,commercial,,,,,,,,,,,,,,,,sand,Quadra,,silos,,,scree,,,Coffee Shack,,,,,,,,,confectionery,rugby_league,,,,,,,,,,
,,,,casino,,,,Ale,,,damaged,,,,,,,,,,,,,,,,taxiway,stands,,oven,,,old_coasttline_import,,,La Poste,,,,,,,,,shopping_centre,gymnastics,,,,,,,,,,
,,,,shop,,,,ESSO,,,hostel,,,,,,,,,,,,,,,,esid,square,,monitoring_station,,,caldera,,,South African National Parks,,,,,,,,,art,shooting,,,,,,,,,,
